actual_classification,matches_played,wins,draws,losses,goals_scored,goals_conceded,goal_difference,total_goal_count,points,points_per_game,expected_goals_scored,Image_URL
Real Madrid CF,28,21,6,1,60,18,42,78,69,2.46,67,https://cdn.ssref.net/req/202312151/tlogo/fb/53a2f082.png
Girona FC,28,19,5,4,59,33,26,92,62,2.21,65,https://cdn.ssref.net/req/202312151/tlogo/fb/9024a00a.png
FC Barcelona,28,18,7,3,57,34,23,91,61,2.18,66,https://cdn.ssref.net/req/202312151/tlogo/fb/206d90db.png
Club Atlético de Madrid,28,17,4,7,54,31,23,85,55,1.96,60,https://cdn.ssref.net/req/202312151/tlogo/fb/db3b9613.png
Athletic Club Bilbao,28,15,8,5,48,26,22,74,53,1.89,54,https://cdn.ssref.net/req/202312151/tlogo/fb/2b390eca.png
Real Sociedad de Fútbol,28,11,10,7,40,31,9,71,43,1.54,41,https://cdn.ssref.net/req/202312151/tlogo/fb/e31d1cd9.png
Real Betis Balompié,28,10,12,6,34,31,3,65,42,1.5,39,https://cdn.ssref.net/req/202312151/tlogo/fb/fc536746.png
Valencia CF,27,11,7,9,32,31,1,63,40,1.48,37,https://cdn.ssref.net/req/202312151/tlogo/fb/dcc91a7b.png
UD Las Palmas,28,10,7,11,29,31,-2,60,37,1.32,33,https://cdn.ssref.net/req/202312151/tlogo/fb/0049d422.png
CA Osasuna,28,10,6,12,31,39,-8,70,36,1.29,36,https://cdn.ssref.net/req/202312151/tlogo/fb/03c57e2b.png
Villarreal CF,28,9,8,11,46,51,-5,97,35,1.25,49,https://cdn.ssref.net/req/202312151/tlogo/fb/2a8183b3.png
Getafe Club de Fútbol,28,8,11,9,36,42,-6,78,35,1.25,39,https://cdn.ssref.net/req/202312151/tlogo/fb/7848bd64.png
Deportivo Alavés,28,8,8,12,26,33,-7,59,32,1.14,29,https://cdn.ssref.net/req/202312151/tlogo/fb/8d6fd021.png
Sevilla FC,28,6,10,12,35,42,-7,77,28,1.0,38,https://cdn.ssref.net/req/202312151/tlogo/fb/ad2be733.png
Real Club Deportivo Mallorca,28,5,12,11,24,35,-11,59,27,0.96,29,https://cdn.ssref.net/req/202312151/tlogo/fb/2aa12281.png
Rayo Vallecano,28,5,11,12,23,38,-15,61,26,0.93,29,https://cdn.ssref.net/req/202312151/tlogo/fb/98e8af82.png
Real Club Celta de Vigo,28,5,9,14,30,43,-13,73,24,0.86,37,https://cdn.ssref.net/req/202312151/tlogo/fb/f25da7fb.png
Cádiz CF,28,3,13,12,20,38,-18,58,22,0.79,26,https://cdn.ssref.net/req/202312151/tlogo/fb/ee7c297c.png
Granada CF,27,2,8,17,30,57,-27,87,14,0.52,34,https://cdn.ssref.net/req/202312151/tlogo/fb/a0435291.png
UD Almería,28,0,10,18,27,57,-30,84,10,0.36,31,https://cdn.ssref.net/req/202312151/tlogo/fb/78ecf4bb.png
